Item_Identifier,Item_Fat_Content,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Weight_interploate,Item_Visibility_interpolate,Outlet_age
1.0,0.0,4.0,249.8092,9.0,1999,1.0,0.0,1.0,3735.138,9.3,0.016047301,25
0.0,2.0,14.0,48.2692,3.0,2009,1.0,2.0,2.0,443.4228,5.92,0.019278216,15
1.0,0.0,10.0,141.618,9.0,1999,1.0,0.0,1.0,2097.27,17.5,0.016760075,25
1.0,2.0,6.0,182.095,0.0,1998,2.0,2.0,0.0,732.38,19.2,0.0157553285,26
2.0,1.0,9.0,53.8614,1.0,1987,0.0,2.0,1.0,994.7052,8.93,0.014750582,37
1.0,2.0,0.0,51.4008,3.0,2009,1.0,2.0,2.0,556.6088,10.395,0.013745835500000001,15
1.0,2.0,13.0,57.6588,1.0,1987,0.0,2.0,1.0,343.5528,13.65,0.012741089,37
1.0,0.0,13.0,107.7622,5.0,1985,1.0,2.0,3.0,4022.7636,14.925,0.127469857,39
1.0,2.0,5.0,96.9726,7.0,2002,2.0,1.0,1.0,1076.5986,16.2,0.016687114,22
1.0,2.0,5.0,187.8214,2.0,2007,2.0,1.0,1.0,4710.535,19.2,0.09444959,17
1.0,0.0,6.0,45.5402,9.0,1999,1.0,0.0,1.0,1516.0266,11.8,0.0699566815,25
1.0,2.0,4.0,144.1102,8.0,1997,2.0,0.0,1.0,2187.153,18.5,0.045463773,27
1.0,2.0,6.0,145.4786,9.0,1999,1.0,0.0,1.0,1589.2646,15.1,0.1000135,25
1.0,2.0,13.0,119.6782,8.0,1997,2.0,0.0,1.0,2145.2076,17.6,0.047257328,27
1.0,0.0,6.0,196.4426,1.0,1987,0.0,2.0,1.0,1977.426,16.35,0.0680243,37
1.0,2.0,2.0,56.3614,8.0,1997,2.0,0.0,1.0,1547.3192,9.0,0.069088961,27
2.0,1.0,8.0,115.3492,3.0,2009,1.0,2.0,2.0,1621.8888,11.8,0.008596051,15
1.0,2.0,2.0,54.3614,9.0,1999,1.0,0.0,1.0,718.3982,9.0,0.069196376,25
0.0,0.0,7.0,113.2834,5.0,1985,1.0,2.0,3.0,2303.668,11.175,0.034237682,39
1.0,0.0,4.0,230.5352,6.0,2004,2.0,1.0,1.0,2748.4224,13.35,0.10249212,20
1.0,2.0,13.0,250.8724,1.0,1987,0.0,2.0,1.0,3775.086,18.85,0.138190277,37
1.0,2.0,0.0,144.5444,5.0,1985,1.0,2.0,3.0,4064.0432,16.725,0.035399923,39
2.0,1.0,9.0,196.5084,6.0,2004,2.0,1.0,1.0,1587.2672,14.6,0.025698134,20
1.0,0.0,0.0,107.6938,4.0,1985,2.0,0.0,0.0,214.3876,14.225,0.057556998,39
1.0,2.0,5.0,165.021,8.0,1997,2.0,0.0,1.0,4078.025,13.85,0.025896485,27
2.0,1.0,9.0,45.906,2.0,2007,2.0,1.0,1.0,838.908,13.0,0.099887103,17
1.0,2.0,13.0,42.3112,6.0,2004,2.0,1.0,1.0,1065.28,7.645,0.066693437,20
