Item_Identifier,Item_Fat_Content,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Weight_interploate,Item_Visibility_interpolate,Outlet_age
FD,Low Fat,Dairy,249.8092,OUT049,1999,Medium,Tier 1,Supermarket Type1,3735.138,9.3,0.016047301,25
DR,Regular,Soft Drinks,48.2692,OUT018,2009,Medium,Tier 3,Supermarket Type2,443.4228,5.92,0.019278216,15
FD,Low Fat,Meat,141.618,OUT049,1999,Medium,Tier 1,Supermarket Type1,2097.27,17.5,0.016760075,25
FD,Regular,Fruits and Vegetables,182.095,OUT010,1998,Small,Tier 3,Grocery Store,732.38,19.2,0.0157553285,26
NC,Non-Edible,Household,53.8614,OUT013,1987,High,Tier 3,Supermarket Type1,994.7052,8.93,0.014750582,37
FD,Regular,Baking Goods,51.4008,OUT018,2009,Medium,Tier 3,Supermarket Type2,556.6088,10.395,0.013745835500000001,15
FD,Regular,Snack Foods,57.6588,OUT013,1987,High,Tier 3,Supermarket Type1,343.5528,13.65,0.012741089,37
FD,Low Fat,Snack Foods,107.7622,OUT027,1985,Medium,Tier 3,Supermarket Type3,4022.7636,14.925,0.127469857,39
FD,Regular,Frozen Foods,96.9726,OUT045,2002,Small,Tier 2,Supermarket Type1,1076.5986,16.2,0.016687114,22
FD,Regular,Frozen Foods,187.8214,OUT017,2007,Small,Tier 2,Supermarket Type1,4710.535,19.2,0.09444959,17
FD,Low Fat,Fruits and Vegetables,45.5402,OUT049,1999,Medium,Tier 1,Supermarket Type1,1516.0266,11.8,0.0699566815,25
FD,Regular,Dairy,144.1102,OUT046,1997,Small,Tier 1,Supermarket Type1,2187.153,18.5,0.045463773,27
FD,Regular,Fruits and Vegetables,145.4786,OUT049,1999,Medium,Tier 1,Supermarket Type1,1589.2646,15.1,0.1000135,25
FD,Regular,Snack Foods,119.6782,OUT046,1997,Small,Tier 1,Supermarket Type1,2145.2076,17.6,0.047257328,27
